diffNuisances run on fitDiagnosticsM400.root, at 2021-01-20 17:30:09.866872 with the following options ... {'absolute_values': False, 'show_all_parameters': False, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': '1', 'vtol2': 2.0, 'poi': 'r'}

name                                              b-only fit            s+b fit         rho
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin27_MultiV         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin27_TT         +0.00, 0.67        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin27_Wjets      ! +0.00, 0.43!        +0.00, 0.66       +0.05
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin27_WpHWWlnuqq_M125         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin27_qqWWqq         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin28_TT         +0.00, 0.66        +0.00, 0.98       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin28_Wjets      ! +0.00, 0.45!        +0.00, 0.69       +0.04
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin28_WpHWWlnuqq_M125         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin28_ggWW         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin28_qqWWqq         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin29_SingleTop         +0.00, 0.68        -0.00, 0.99       -0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin29_TT         +0.00, 0.67        -0.00, 0.99       -0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin29_Wjets      ! +0.00, 0.45!        -0.00, 0.70       -0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin29_ggWW         +0.00, 0.68        -0.00, 0.99       -0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin29_qqWWqq         +0.00, 0.68        -0.00, 0.99       -0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin29_tW         +0.00, 0.63        -0.00, 0.96       -0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin2_DY      ! +0.00, 0.47!        +0.00, 0.81       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin2_TT         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin2_Wjets      ! +0.00, 0.47!        +0.00, 0.81       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin30_MultiV         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin30_TT         +0.00, 0.67        +0.00, 0.99       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin30_Wjets      ! +0.00, 0.46!        +0.00, 0.71       +0.05
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin30_WmHWWlnuqq_M125         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin30_WpHWWlnuqq_M125         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin30_qqWWqq         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin30_tW         +0.00, 0.64        +0.00, 0.97       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin31_MultiV         +0.00, 0.67        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin31_TT         +0.00, 0.66        +0.00, 0.98       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin31_Wjets      ! +0.00, 0.49!        +0.00, 0.73       +0.03
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin31_WpHWWlnuqq_M125         +0.00, 0.68        +0.00, 0.99       +0.00
